Проект по інвалідам,Проект по водним ресурсам,Проект по всиновленню,Закон про лікарів,Проект по Сальвадору,Закон про релігії,Антисупутниковий проект,Проект допомоги Нікарагуа,Проект по ракетам,Закон про іммігрантів,Проект по альтернативним джералам палива\енергії,Закон про освіту,Проект по фондам,Проект по злочинності,Проект по миту,Проект по експорту,Клас
ні,ні,так,так,так,так,ні,ні,так,так,ні,так,так,так,ні,так,республіканець
так,ні,так,так,так,так,так,так,ні,так,ні,так,ні,так,так,так,республіканець
ні,так,так,ні,так,утримався,так,ні,ні,так,так,ні,так,ні,так,так,демократ
так,ні,так,ні,так,так,ні,ні,ні,ні,ні,ні,ні,ні,ні,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,так,так,так,так,ні,ні,республіканець
так,так,так,ні,так,так,ні,так,ні,ні,так,ні,так,ні,так,так,демократ
ні,так,так,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,демократ
ні,ні,ні,ні,так,так,так,ні,ні,ні,ні,так,так,так,ні,так,демократ
так,так,так,ні,ні,ні,так,так,так,так,так,ні,ні,ні,ні,так,демократ
ні,так,так,ні,ні,так,так,так,ні,так,так,ні,так,так,ні,утримався,демократ
ні,ні,так,так,ні,ні,так,так,так,так,ні,ні,ні,так,так,так,республіканець
ні,так,так,ні,так,так,ні,так,ні,ні,ні,ні,ні,ні,ні,так,демократ
ні,утримався,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,ні,республіканець
так,так,ні,ні,так,так,ні,ні,ні,ні,так,так,так,так,так,ні,демократ
так,ні,так,ні,ні,ні,так,так,так,так,так,ні,ні,так,так,так,демократ
так,так,так,ні,так,так,так,так,ні,так,так,ні,ні,ні,так,утримався,демократ
так,так,так,ні,ні,ні,так,так,так,так,ні,ні,так,ні,ні,так,демократ
ні,утримався,так,ні,ні,ні,так,так,так,так,так,ні,ні,так,так,так,демократ
так,так,так,ні,ні,ні,ні,так,так,ні,так,ні,ні,ні,так,так,демократ
ні,так,так,ні,ні,так,так,так,так,ні,утримався,ні,ні,ні,ні,так,демократ
так,ні,так,ні,ні,так,так,так,так,так,так,ні,ні,ні,ні,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,ні,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,так,ні,так,ні,так,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,так,утримався,так,так,так,ні,ні,республіканець
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
ні,так,ні,так,утримався,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
так,ні,так,ні,утримався,ні,так,так,так,так,ні,так,ні,утримався,так,так,демократ
так,так,так,ні,ні,ні,так,так,так,ні,так,ні,ні,ні,ні,утримався,демократ
так,так,так,ні,ні,ні,так,так,утримався,так,ні,ні,ні,ні,так,утримався,демократ
ні,так,так,ні,так,так,ні,ні,ні,так,так,так,так,так,ні,утримався,демократ
ні,утримався,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,ні,утримався,демократ
так,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
ні,ні,так,ні,ні,ні,так,так,так,ні,так,ні,ні,ні,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,так,ні,утримався,так,так,ні,ні,республіканець
ні,ні,так,ні,ні,так,так,так,так,ні,так,ні,ні,ні,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
ні,утримався,так,ні,так,так,ні,так,ні,ні,так,ні,ні,ні,ні,утримався,демократ
ні,ні,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,так,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,утримався,ні,так,республіканець
так,ні,так,ні,ні,так,так,так,ні,так,так,ні,так,так,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,так,республіканець
так,ні,ні,ні,так,так,так,ні,ні,так,так,ні,ні,так,ні,так,демократ
ні,ні,так,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,демократ
так,так,так,так,ні,ні,так,так,так,так,так,ні,ні,так,ні,так,демократ
ні,утримався,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,утримався,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,так,республіканець
так,ні,так,ні,ні,так,так,так,ні,ні,ні,так,так,ні,ні,так,демократ
ні,так,так,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,так,ні,республіканець
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,утримався,республіканець
так,ні,ні,ні,так,так,ні,ні,ні,ні,так,так,ні,так,ні,так,демократ
ні,так,так,ні,так,так,ні,ні,ні,ні,так,ні,ні,ні,так,утримався,демократ
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,утримався,так,ні,ні,республіканець
ні,ні,так,ні,ні,так,так,так,так,так,ні,ні,ні,так,утримався,так,демократ
так,так,так,ні,так,так,ні,так,так,так,так,ні,ні,ні,ні,так,демократ
так,так,так,ні,ні,ні,так,так,так,ні,так,ні,ні,ні,так,так,демократ
ні,так,ні,ні,так,так,ні,ні,утримався,ні,ні,так,так,так,ні,так,демократ
